ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,y
1,,62330,,0.748,4.845454545,30405,18.06666667,2.807633803,663180,,C1,square
2,,4370,,0.858,1.072727273,2445,1.266666667,0.712985915,49420,,C2,square
3,0.00072904,1449,196.3,0.841,0.172727273,795,0.42,0.112528169,16240,,C2,square
4,0.043499392,24702,349.7,0.594,5.254545455,9570,7.16,2.417830986,239680,0.430355262,C3,circle
5,0.000972053,1104,162.5,0.792,0.109090909,570,0.32,0.066929577,12040,,C3,square
6,,13248,228.15,0.755,1.836363636,6525,3.84,1.074014085,141540,,C4,square
7,0.031024706,105708,199.55,0.603,12.80909091,41565,30.64,5.983288732,1031380,,C4,square
8,0.000648036,1288,104.65,0.518,0.081818182,435,0.373333333,0.032830986,11900,,C2,square
9,0.002754151,6256,272.35,0.783,1.036363636,3195,1.813333333,0.628605634,67900,,C1,square
10,0.001782098,3542,63.05,0.403,0.136363636,930,1.026666667,0.042570423,30240,,C2,square
11,,1771,,0.922,0.245454545,1065,0.513333333,0.175309859,20720,,C1,square
12,0.001296071,2944,223.6,0.898,0.4,1725,0.853333333,0.278253521,34020,,C1,square
13,,66286,,0.788,6.790909091,34065,19.21333333,4.145323944,721420,,C2,square
14,0.005751316,13064,187.85,0.574,1.490909091,4890,3.786666667,0.662929577,125160,,C2,square
15,0.005751316,11431,256.1,0.958,1.781818182,7140,3.313333333,1.322309859,136220,,C4,square
16,,36547,,0.509,3.136363636,12135,10.59333333,1.23665493,335720,,C1,square
17,,2484,,0.852,0.381818182,1380,0.72,0.252,28000,,C3,square
18,,1472,152.1,0.672,0.136363636,645,0.426666667,0.070985915,14980,,C1,square
19,,58788,,0.456,3.181818182,17475,17.04,1.123943662,520940,,C3,square
20,,8050,117,0.417,0.572727273,2190,2.333333333,0.185007042,69440,,C2,square
21,,15272,,0.979,2.154545455,9750,4.426666667,1.633964789,183960,,C3,square
22,0.000972053,1932,255.45,0.69,0.3,870,0.56,0.160352113,19880,,C3,square
23,,15410,,0.649,1.772727273,6525,4.466666667,0.891232394,154700,,C3,square
24,0.01417578,48300,261.95,0.774,7.7,24375,14,4.616746479,521500,,C1,square
25,0.003807209,8648,210.6,0.896,1.109090909,5055,2.506666667,0.769802817,99820,,C2,square
